year,country,electricity_generation,renewables_electricity,fossil_electricity,electricity_demand
2000-01-01,Africa,441.08,77.5,350.57,454.15
2001-01-01,Africa,459.46,83.31,365.43,462.61
2002-01-01,Africa,487.69,88.02,387.68,489.33
2003-01-01,Africa,509.14,85.87,410.61,510.48
2004-01-01,Africa,540.14,91.01,435.76,541.5
2005-01-01,Africa,560.75,93.95,455.51,562.31
2006-01-01,Africa,586.8,97.98,478.79,590.37
2007-01-01,Africa,610.23,100.5,498.41,614.6
2008-01-01,Africa,621.69,102.5,506.19,626.12
2009-01-01,Africa,624.58,106.6,505.17,629.81
2010-01-01,Africa,672.39,116.24,542.62,676.39
2011-01-01,Africa,688.71,119.31,556.5,694.91
2012-01-01,Africa,725.63,122.59,590.07,733.78
2013-01-01,Africa,741.23,127.76,599.36,750.62
2014-01-01,Africa,768.18,137.48,616.91,778.12
2015-01-01,Africa,790.52,142.59,635.69,798.31
2016-01-01,Africa,806.2,145.14,646.03,814.82
2017-01-01,Africa,825.82,155.22,656.41,833.52
2018-01-01,Africa,850.3,167.98,670.74,857.02
2019-01-01,Africa,868.76,179.49,676.02,869.27
2020-01-01,Africa,855.37,191.47,654.0,857.22
2021-01-01,Africa,889.88,199.48,678.05,891.83
2022-01-01,Africa,881.02,205.31,665.61,886.28
2000-01-01,Algeria,25.4,0.05,25.35,25.33
2001-01-01,Algeria,26.62,0.07,26.55,26.57
2002-01-01,Algeria,27.65,0.06,27.59,27.63
2003-01-01,Algeria,29.57,0.26,29.31,29.58
2004-01-01,Algeria,31.25,0.25,31.0,31.26
2005-01-01,Algeria,33.91,0.55,33.36,33.99
2006-01-01,Algeria,35.23,0.22,35.01,35.31
2007-01-01,Algeria,37.19,0.22,36.97,37.2
2008-01-01,Algeria,40.23,0.28,39.95,40.18
2009-01-01,Algeria,38.5,0.3,38.2,38.47
2010-01-01,Algeria,45.73,0.17,45.56,45.66
2011-01-01,Algeria,51.22,0.5,50.72,51.08
2012-01-01,Algeria,57.4,0.62,56.78,57.35
2013-01-01,Algeria,59.89,0.33,59.56,59.8
2014-01-01,Algeria,64.27,0.25,64.02,64.08
2015-01-01,Algeria,68.84,0.22,68.62,68.81
2016-01-01,Algeria,71.04,0.34,70.7,70.79
2017-01-01,Algeria,76.07,0.64,75.43,75.73
2018-01-01,Algeria,76.71,0.78,75.93,76.62
2019-01-01,Algeria,81.58,0.84,80.74,81.44
2020-01-01,Algeria,79.22,0.73,78.49,79.16
2021-01-01,Algeria,85.45,0.66,84.79,84.3
2022-01-01,Algeria,88.18,0.68,87.5,87.04
2000-01-01,Argentina,88.98,29.0,53.8,90.2
