year,country,electricity_generation,renewables_electricity,fossil_electricity,electricity_demand
1971-01-01,Africa,,26.177,,
1972-01-01,Africa,,29.798,,
1973-01-01,Africa,,31.516,,
1974-01-01,Africa,,35.842,,
1975-01-01,Africa,,37.89,,
1976-01-01,Africa,,41.983,,
1977-01-01,Africa,,46.118,,
1978-01-01,Africa,,46.502,,
1979-01-01,Africa,,49.766,,
1980-01-01,Africa,,48.519,,
1981-01-01,Africa,,50.411,,
1982-01-01,Africa,,50.442,,
1983-01-01,Africa,,45.477,,
1984-01-01,Africa,,44.724,,
1985-01-01,Africa,258.986,49.719,201.736,
1986-01-01,Africa,270.11,51.804,207.611,
1987-01-01,Africa,280.26,49.714,222.495,
1988-01-01,Africa,295.296,54.219,229.071,
1989-01-01,Africa,306.648,56.893,237.488,
1990-01-01,Africa,318.776,58.06,250.27,
1991-01-01,Africa,324.848,61.473,252.426,
1992-01-01,Africa,327.871,58.714,258.541,
1993-01-01,Africa,339.074,57.634,272.847,
1994-01-01,Africa,351.334,58.448,281.679,
1995-01-01,Africa,362.692,60.785,289.338,
1996-01-01,Africa,382.14,63.573,304.578,
1997-01-01,Africa,400.878,65.235,320.393,
1998-01-01,Africa,406.459,68.387,322.06,
1999-01-01,Africa,418.592,72.414,330.761,
2000-01-01,Africa,441.08,77.5,350.57,454.15
2001-01-01,Africa,459.46,83.31,365.43,462.61
2002-01-01,Africa,487.69,88.02,387.68,489.33
2003-01-01,Africa,509.14,85.87,410.61,510.48
2004-01-01,Africa,540.14,91.01,435.76,541.5
2005-01-01,Africa,560.75,93.95,455.51,562.31
2006-01-01,Africa,586.8,97.98,478.79,590.37
2007-01-01,Africa,610.23,100.5,498.41,614.6
2008-01-01,Africa,621.69,102.5,506.19,626.12
2009-01-01,Africa,624.58,106.6,505.17,629.81
2010-01-01,Africa,672.39,116.24,542.62,676.39
2011-01-01,Africa,688.71,119.31,556.5,694.91
2012-01-01,Africa,725.63,122.59,590.07,733.78
2013-01-01,Africa,741.23,127.76,599.36,750.62
2014-01-01,Africa,768.18,137.48,616.91,778.12
2015-01-01,Africa,790.52,142.59,635.69,798.31
2016-01-01,Africa,806.2,145.14,646.03,814.82
2017-01-01,Africa,825.82,155.22,656.41,833.52
2018-01-01,Africa,850.3,167.98,670.74,857.02
2019-01-01,Africa,868.76,179.49,676.02,869.27
2020-01-01,Africa,855.37,191.47,654.0,857.22
2021-01-01,Africa,889.88,199.48,678.05,891.83
2022-01-01,Africa,881.02,205.31,665.61,886.28
1985-01-01,Algeria,12.274,,,
1986-01-01,Algeria,12.981,,,
1987-01-01,Algeria,12.722,,,
1988-01-01,Algeria,13.966,,,
1989-01-01,Algeria,15.324,,,
1990-01-01,Algeria,16.104,0.135,,
1991-01-01,Algeria,17.345,0.293,,
1992-01-01,Algeria,18.286,0.199,,
1993-01-01,Algeria,19.414,0.353,,
1994-01-01,Algeria,19.883,0.166,,
1995-01-01,Algeria,19.715,0.193,,
1996-01-01,Algeria,20.654,0.135,,
1997-01-01,Algeria,21.497,0.075,,
1998-01-01,Algeria,23.262,0.215,,
1999-01-01,Algeria,24.757,0.203,,
2000-01-01,Algeria,25.4,0.05,25.35,25.33
2001-01-01,Algeria,26.62,0.07,26.55,26.57
2002-01-01,Algeria,27.65,0.06,27.59,27.63
2003-01-01,Algeria,29.57,0.26,29.31,29.58
2004-01-01,Algeria,31.25,0.25,31.0,31.26
2005-01-01,Algeria,33.91,0.55,33.36,33.99
2006-01-01,Algeria,35.23,0.22,35.01,35.31
2007-01-01,Algeria,37.19,0.22,36.97,37.2
2008-01-01,Algeria,40.23,0.28,39.95,40.18
2009-01-01,Algeria,38.5,0.3,38.2,38.47
2010-01-01,Algeria,45.73,0.17,45.56,45.66
2011-01-01,Algeria,51.22,0.5,50.72,51.08
2012-01-01,Algeria,57.4,0.62,56.78,57.35
2013-01-01,Algeria,59.89,0.33,59.56,59.8
2014-01-01,Algeria,64.27,0.25,64.02,64.08
2015-01-01,Algeria,68.84,0.22,68.62,68.81
2016-01-01,Algeria,71.04,0.34,70.7,70.79
2017-01-01,Algeria,76.07,0.64,75.43,75.73
2018-01-01,Algeria,76.71,0.78,75.93,76.62
2019-01-01,Algeria,81.58,0.84,80.74,81.44
2020-01-01,Algeria,79.22,0.73,78.49,79.16
2021-01-01,Algeria,85.45,0.66,84.79,84.3
2022-01-01,Algeria,88.18,0.68,87.5,87.04
2023-01-01,Algeria,85.91,0.734,,
1985-01-01,Argentina,45.304,,18.765,
1986-01-01,Argentina,49.022,,22.157,
1987-01-01,Argentina,52.115,,23.632,
1988-01-01,Argentina,52.5,,31.288,
1989-01-01,Argentina,50.863,,32.404,
1990-01-01,Argentina,51.005,17.846,25.454,
1991-01-01,Argentina,53.854,16.0,29.512,
1992-01-01,Argentina,56.107,19.295,29.29,
1993-01-01,Argentina,61.869,23.864,29.867,
1994-01-01,Argentina,65.622,27.386,29.624,
1995-01-01,Argentina,67.169,26.623,32.994,
1996-01-01,Argentina,69.76,22.704,39.086,
1997-01-01,Argentina,72.462,28.118,36.126,
1998-01-01,Argentina,74.17,26.715,39.881,
1999-01-01,Argentina,80.745,21.694,51.669,
2000-01-01,Argentina,88.98,29.0,53.8,90.2
2001-01-01,Argentina,90.14,36.99,46.09,91.89
2002-01-01,Argentina,84.59,36.38,42.39,90.51
2003-01-01,Argentina,92.07,34.76,49.74,97.1
2004-01-01,Argentina,100.26,31.4,60.99,103.73
2005-01-01,Argentina,105.75,35.21,63.67,109.63
2006-01-01,Argentina,113.43,39.14,66.57,115.79
2007-01-01,Argentina,113.52,32.35,73.92,121.12
2008-01-01,Argentina,121.91,32.45,82.07,127.39
2009-01-01,Argentina,122.32,35.85,78.29,128.48
2010-01-01,Argentina,126.0,34.77,84.02,134.6
2011-01-01,Argentina,129.49,32.61,90.48,139.16
2012-01-01,Argentina,136.02,30.99,98.63,143.63
2013-01-01,Argentina,139.45,34.77,98.47,147.51
2014-01-01,Argentina,138.54,34.54,98.49,148.4
2015-01-01,Argentina,145.42,34.43,103.95,154.38
2016-01-01,Argentina,147.18,31.49,107.41,156.7
2017-01-01,Argentina,145.61,33.68,105.84,156.07
2018-01-01,Argentina,146.78,35.22,104.69,156.34
2019-01-01,Argentina,139.53,34.78,96.31,150.22
2020-01-01,Argentina,144.64,36.62,98.01,149.35
2021-01-01,Argentina,153.15,37.04,105.94,155.65
2022-01-01,Argentina,150.83,43.33,100.03,163.71
2023-01-01,Argentina,153.43,53.24,91.24,166.1
1965-01-01,Asia,,143.006,,
1966-01-01,Asia,,149.168,,
1967-01-01,Asia,,139.424,,
1968-01-01,Asia,,154.96,,
1969-01-01,Asia,,160.862,,
1970-01-01,Asia,,164.89,,
1971-01-01,Asia,,180.318,,
1972-01-01,Asia,,186.495,,
1973-01-01,Asia,,173.434,,
1974-01-01,Asia,,197.528,,
1975-01-01,Asia,,212.835,,
1976-01-01,Asia,,218.829,,
